,Unnamed: 0,address,city,in_stable,latitude,longitude,name,state,uuid,zip,status
0,0,413 Via Malaga,Redondo Beach,0.0,,,Cunningham Development Company,CA,1228b36f-d2ba-449d-b6dd-1ad6b178f39d,90277.0,edge
1,1,10918 Shoemaker Ave,Santa Fe Springs,1.0,,,Valverde Construction,CA,160c92ff-4fa7-439c-ae62-5605a921632c,90670.0,stable
2,2,7958 Beverly Blvd,Los Angeles,1.0,,,Quandary Peak Research,CA,18e26010-5dca-4513-9127-0dae76f9d06a,90048.0,stable
3,3,18825 Railroad St,City Of Industry,0.0,,,Cwci Insulation Of Louisiana,CA,57ad7605-8790-4c2b-b776-65f2e3f0c9bd,91748.0,edge
4,4,9619 Klingerman St,South El Monte,1.0,,,Pacific Marine Systems,CA,6e53ea62-a419-4d8e-af2c-681ca66893ac,91733.0,stable
5,5,5515 San Vicente Blvd,Los Angeles,1.0,,,Craft Wheelchair Repair,CA,7fbd9ec3-4728-4baa-bebd-46d35bb28c4f,90019.0,stable
6,6,9830 Norwalk Blvd,Santa Fe Springs,1.0,,,Unipack Medical,CA,83374bab-0a6f-41af-beb7-84c60b2a35b7,90670.0,stable
7,7,6326 West Blvd,Los Angeles,1.0,,,Supreme Supply Co.,CA,a7cac19e-651e-42f8-b463-a56b12b2656e,90043.0,stable
8,8,5534 Flotilla St,Commerce,1.0,,,Hollywood Bed & Springs Manufacturer Co.,CA,b71bcf1c-8387-47be-8b05-4e3c1974a758,90040.0,stable
9,9,11522 W Washington Blvd,Los Angeles,1.0,,,Thebrain Technologies,CA,c2559ed6-e79d-4ca9-b3ae-695128d4d2a9,90066.0,stable
10,10,130TH St,Gardena,0.0,,,Space-Lok,CA,c8b4e285-de0b-4a4c-80d9-121b8b808143,90249.0,edge
11,11,1480 Canal Ave,Long Beach,1.0,,,Aviation Repair Solutions,CA,dd5f3c7f-5d1a-4e47-9369-bfb813284588,90813.0,stable
12,12,385 Van Ness Ave,Torrance,1.0,,,Jcc Engineering Service,CA,fcf6859a-c3d4-4e8f-8bbc-72bfc6a7b71d,90501.0,stable
13,13,385 Van Ness Ave,Torrance,1.0,,,Jcc Engineering Service,CA,fcf6859a-c3d4-4e8f-8bbc-72bfc6a7b71d,90501.0,stable
14,14,1901 Ave,Los Angeles,0.0,,,Catalyst Mrp West,CA,fe70b432-2e97-4fe1-8ce3-721f76e74fd7,90067.0,edge
15,15,9034 W Sunset Blvd,West Hollywood,0.0,,,"M & A Gabaee, A California Limited Partnership",CA,febfe888-0305-4623-bfe0-84229006bd43,90069.0,edge
16,16,6636 Variel Ave,Canoga Park,1.0,,,Andwin Scientific,CA,18f0d46a-c092-41ca-9f4c-e1304ba16d85,91303.0,stable
17,17,4575 Pacific Blvd,Los Angeles,1.0,,,Littlejohn Reuland,CA,22906af5-dd0d-4aca-a762-32f1f1f73dcf,90058.0,stable
18,18,225 W Duarte Rd,Monrovia,1.0,34.13243658031003,{},Shore Western Manufacturing,CA,261a47fd-7c50-4298-bad0-43997baa89d2,91016.0,stable
19,19,4544 Runway Dr,Lancaster,1.0,,,Morton Fasteners,CA,40b03962-69e4-4380-af02-4818a6fa6677,93536.0,stable
20,20,10711 Alameda St,Lynwood,1.0,,,Jones Lumber,CA,75eeb8a2-915b-426c-87f3-87f944acad61,90262.0,stable
21,21,7530 Hayvenhurst Ave,Van Nuys,0.0,,,EDN Aviation,CA,8ca10a98-4bf2-41a6-a55a-7c76d1f5ea2d,91406.0,edge
22,22,12801 Ann St,Santa Fe Springs,1.0,,,Cytec Process Materials,CA,a1ade595-09b1-419a-adab-3f289b745ee2,90670.0,stable
23,23,1050 E Dominguez St,Carson,0.0,,,Carcraft,CA,a982680b-c2f3-4ebd-ba04-fb17ad3b5d30,90746.0,edge
24,24,1541 W Cowles St,Long Beach,1.0,,,Snyder Manufacturer,CA,abe0bf8e-883c-49fe-930d-3d5b2a5d21fd,90813.0,stable
25,25,14950 Gwenchris Ct,Paramount,1.0,,,California Screw Products Corporation,CA,c93fde87-97ca-4a1e-947f-684e8be7af79,90723.0,stable
26,26,13615 Larwin Cir,Santa Fe Springs,1.0,,,American Relocation & Logist,CA,f6669ff3-66e5-4fd6-aa6d-12ea5097aaea,90670.0,stable
27,27,19756 Prairie St,Chatsworth,1.0,,,Aitech Defense Systems,CA,0231bc50-3feb-44ca-9626-eb81091b10af,91311.0,stable
28,28,600 W Terrace Dr,San Dimas,1.0,,,Young Engineering & Man,CA,0d3924ed-fabe-4f6b-b870-8981abd1845f,91773.0,stable
29,29,801 S Grand Ave,Los Angeles,1.0,,,Raw International,CA,0f8b99ae-fdf6-42c3-bfef-a9ffb461bcde,90017.0,stable
30,30,916 N Western Ave,San Pedro,1.0,,,Ghi Systems,CA,1d0b5502-aa32-4094-ad2f-b972a287053d,90732.0,stable
31,31,9401 Reseda Blvd,Northridge,1.0,,,Lewis Ross Associates,CA,24599802-3e2a-496b-b401-4d4248cf1235,91324.0,stable
32,32,201 N Robertson Blvd,Beverly Hills,1.0,,,Quik Pick Messenger Service,CA,2f6f4851-56f7-47ef-8732-b0fa0d376407,90211.0,stable
33,33,1620 Westwood Blvd,Los Angeles,1.0,,,Dental Health Institute,CA,3072319a-e500-4ceb-b946-8fcae9792406,90024.0,stable
34,34,10111 Jefferson Blvd,Culver City,1.0,,,Moldex-Metric,CA,45cf16e2-54f5-4a6c-a738-84fe023feb50,90232.0,stable
35,35,1849 Sawtelle Blvd,Los Angeles,1.0,,,Boothe,CA,46058619-4009-433d-bc9e-010562e0a90c,90025.0,stable
36,36,6614 Melrose Ave,Los Angeles,1.0,,,Melrose Mac,CA,4d14dec0-1c23-4f5a-a632-cb2f394400e8,90038.0,stable
37,37,1606 Loma Vista St,Pasadena,1.0,,,Disaster Scope,CA,6b12beb0-4cc3-4fcf-b524-4790ff7d5317,91104.0,stable
38,38,633 W 5th St,Los Angeles,1.0,34.05102174726752,-118.2545021185258,BFRM Legal Support Services,CA,73789aad-69c5-4be6-9f70-84807523dadb,90071.0,stable
39,39,2148 W 237th St,Torrance,1.0,,,Ever Builders,CA,8135bc27-60aa-4949-8cd1-5e51c7ffbd30,90501.0,stable
40,40,2520 W 237th St,Torrance,1.0,,,Intelligent Optical Systems,CA,8c0497ac-4112-40a9-a534-c9e29c45de7a,90505.0,stable
41,41,1411 W 190th St,Gardena,1.0,,,Integrated Communications,CA,a27044a8-2694-4e67-98ae-48a69f4f1e57,90248.0,stable
42,42,2110 Artesia Blvd,Redondo Beach,1.0,33.8725617500018,{},E-Cycle Environmental,CA,d20e39e4-276e-4bf8-864e-3d859df6531f,90278.0,stable
43,43,22817 Ventura Blvd,Woodland Hills,1.0,,,Composition Type,CA,e2cac78f-7a47-4696-9600-4646e0f2fd2c,91364.0,stable
44,44,201 N Orange Grove Blvd,Pasadena,1.0,,,Geo Optics,CA,e6827ac7-f419-4ad3-a24f-f118dfb4625c,91103.0,stable
45,45,523 W 6th St,Los Angeles,1.0,,,Syncromatics,CA,e74677d2-0e0c-4349-91c9-0bb5a067b434,90014.0,stable
46,46,911 W Avenue J,Lancaster,0.0,,,Get Dolled Up Beauty Supply & More,CA,f2e9bbfc-aa05-4480-8984-6aa7e7b04c4b,93534.0,edge
47,47,439 S Western Ave,Los Angeles,0.0,,,Viagen Biotech,CA,0d8dbd7d-aed5-4884-9f5a-1f836ae51ed2,90020.0,edge
48,48,2671 Pomona Blvd,Pomona,1.0,,,National Relocation Services,CA,12ae1d2f-0176-4144-8266-50616faa8443,91768.0,stable
49,49,10020 Pioneer Blvd,Santa Fe Springs,1.0,,,Applied Biocode,CA,138358b7-03b2-443b-95f2-b784cd7998c6,90670.0,stable
50,50,1725 Del Amo Blvd,Torrance,1.0,,,Seqgen,CA,181e1e24-60ee-49f8-9a97-9b05f7350629,90501.0,stable
51,51,425 S Hacienda Blvd,Hacienda Heights,1.0,34.01824947066771,-117.9600627746077,Valley Power System,CA,29868249-7b46-43d8-876c-0c3ff7f4e061,91745.0,stable
52,52,5959 Corvette St,Commerce,1.0,,,Hollywood Bed & Spring Manufacturer,CA,5aeed98d-72ee-4c5f-981c-630efcff2202,90040.0,stable
53,53,10959 Tuxford St,Sun Valley,1.0,,,Technical Heaters,CA,6a742246-e3ee-47ef-acac-57b175ba2a44,91352.0,stable
54,54,"Torrance, CA",Torrance,0.0,,,Phenomenex,CA,7bac68d1-8430-4178-8893-2c796eaddfc2,90501.0,edge
55,55,2945 Honolulu Ave,La Crescenta,0.0,,,Scpwe I,CA,85844a1d-8d48-405f-8e0e-d2cc2ca4a68e,91214.0,edge
56,56,636 Brea Canyon Rd,Walnut,1.0,,,Servitek Solutions,CA,86089167-f761-4597-b035-adb3bb2df5e1,91789.0,stable
57,57,"Santa Fe Springs, CA, United States",Santa Fe Springs,0.0,,,Askew Industrial,CA,c70a73b2-d873-4e59-87e3-4f3d449a3d41,90670.0,edge
58,58,4764 E 49th St,Vernon,1.0,,,Unified Nutrimeals,CA,d8832b93-1697-4a4a-b2b4-4cd253227735,90058.0,stable
59,59,728 W Santa Anita Ave,San Gabriel,1.0,,,Marples Gears,CA,db36994e-d050-4bd3-b883-9e4744a5e17e,91776.0,stable
60,60,15926 S Figueroa St,Gardena,1.0,,,M & B Assembly,CA,f1e057e9-b43c-4d16-9c5b-064c74625bb0,90248.0,stable
61,61,5321 Derry Ave,Agoura Hills,1.0,,,B J Wolfe Enterprises,CA,03de661b-4d19-49e0-badd-7b11d93de951,91301.0,stable
62,62,2501 W 237th St,Torrance,1.0,,,Asa Sales,CA,1077ea57-2065-4289-90dd-f3316189cd24,90505.0,stable
63,63,19215 Castlebay Ln,Porter Ranch,1.0,,,K-Rise Enterprises,CA,1d5aae1b-beff-400e-9d29-1383415837c7,91326.0,stable
64,64,7236 Owensmouth Ave,Canoga Park,1.0,,,The Shop at Whitney Howard,CA,1dc896eb-4a6d-4612-a148-36fb095c6cb7,91303.0,stable
