,Date
0,006e91b7-bc20-49af-a6e4-f4a79acbf549
1,00c0c159-1c0f-414c-abf8-190038eefe55
2,012cea78-0f7b-43a6-b271-12ebf2587701
3,01334f86-a402-4961-888b-ba1be807563a
4,01498a35-a3e6-4952-9d0b-7e3dbefcf6fb
5,01a55b65-f45a-4f32-893d-6b573066a200
6,01b60c5a-1adf-4a06-a48a-85c82b225006
7,01d6afd1-ff7b-465c-82a2-05c48a99fe00
8,01f191ba-56fe-4a80-a0c3-bb104ea8b882
9,021a1ae2-8752-4cb1-8124-5dd0598bce8e
10,021c06b2-0a3f-4d3e-b43b-5877773acd46
11,021da371-528f-4a42-bf10-54829e9ab991
12,0266c98a-3ef2-4022-b782-07f5d8805983
13,02a5773e-d6b7-4b0e-9e9e-c75a8c6750de
14,0321a715-9042-44b9-8a40-d04b4011703d
15,0333a1b3-1b71-4de5-b9f0-6c755166e2e5
16,0358a7f6-646f-4725-bf47-06a7f5b057b5
17,043f1728-c74d-41bf-80b7-8529e1b24b44
18,04a2b8b4-a5c7-43b3-aaa1-fe883a1aac6c
19,04f37e6a-566b-4432-be6e-55a844e30829
20,050d4367-10f0-413a-82d0-7e01a6735dbf
21,057378dd-0d7f-49c1-b124-a81e932875af
22,05a4a916-71bd-47de-b81f-9f0810dd4c54
23,05aa3e54-8596-4c84-9083-396d72415f0e
24,06ac0113-e111-4253-80d1-0f341b7b4135
25,06dc802a-7065-43fc-8b96-9ab288c69002
26,0709be6a-6150-44d1-b4d8-dd9322655a2a
27,080d1f2c-cc94-4fd6-8f8a-db7a2b473039
28,0837ce76-05aa-4f8f-9d08-aabc2466620b
29,08836469-e76f-4f1c-83bd-49e8730b9219
30,08db55db-231d-45c5-aa7b-9ed80c87528d
31,08fa7a79-ac68-4f07-976d-efeca4398d99
32,092b03be-f79a-4432-9946-89a33d8bf576
33,094655c8-d6b2-41ad-9f36-113c951aa740
34,0959e31e-888f-4bb6-b6c5-f498ae225955
35,09e6d54e-c756-44a5-b2a5-f960b08ac256
36,09ef863d-6990-4b16-a12f-142b018b8a41
37,0a77d830-9f83-4147-90fd-e101dca048d3
38,0ae72d79-9d0a-4a88-8996-a11c6bbc2388
39,0b7a0612-bf8a-4b48-a32b-ff9a47077447
40,0bbcbad7-c637-4461-a6c9-495107a33397
41,0c011468-9ded-4a7c-9855-714e2390c7e3
42,0c2be60c-a0cc-4d09-829a-cc342dd2f498
43,0c3cad4c-6774-4178-9ece-9cc0a6df6c41
44,0c4c2bdd-3a7f-4f77-bd51-3dc5193b7e34
45,0c6e8b64-2adb-420f-baf9-1d9610ec297d
46,0d6e9661-a2f6-4fc4-9453-d27605142ca9
47,0d8dbd7d-aed5-4884-9f5a-1f836ae51ed2
48,0e6fdd12-4642-4b6a-b5cb-4f4716aa2d90
49,0ed82aea-a96c-4846-801a-3a67ab1a6032
50,0f238983-522e-41c3-aa61-dd4c65afc6af
51,0f67a552-497e-4df8-bf21-e674ad60d8e8
52,0f7e811d-a739-48d3-b436-06aefadded53
53,0f9e09e7-9538-4a0c-9564-8e14932a70a3
54,10db7b66-4998-4e23-8390-b8486e813cfe
55,1159069d-189b-4efa-9152-3e25cf9d7603
56,1167d36f-cc1c-4b64-93fb-61b3462b8cb2
57,119b0c70-43a2-4e31-ab7e-7f76222539c7
58,11ea925b-21cc-41ce-9801-8c031541eb7d
59,121c5529-27e0-4353-88f4-d9c5f903496f
60,1228b36f-d2ba-449d-b6dd-1ad6b178f39d
61,12441b00-0b5c-449a-a712-2bc73cda1ba9
62,12756912-3778-4c42-9a67-b74a7b10333a
63,12b593dc-7be4-403d-8f87-13c0c37bc773
64,13224e2d-290f-4432-89fa-a95bbe781f5c
65,13269b56-0256-4d5c-a592-903e126a7c38
66,138358b7-03b2-443b-95f2-b784cd7998c6
67,139c79a0-752a-4160-9001-7a8c63800024
68,1414988a-52d5-4482-bab8-cd32a9720be2
69,143f504a-9197-42b0-b243-bf068d343600
70,144402f5-be99-4a6c-b462-b200c45996bf
71,144706d9-3f37-4106-aeab-744b7aedd4e8
72,1522ccc4-aac3-4467-aaf1-a9ee32d0f494
73,154518ab-efbc-4bf6-90d1-277918db7937
74,15952ee5-0afe-4377-8507-1e3eeb2c8cbd
75,15d0f6a4-8fe0-40e6-b325-c8b2e640fae9
76,163440c8-8db3-4bf2-8214-a24dec6888da
77,166425f3-de61-4fc5-9594-eed6ea780865
78,171a72cd-4bca-437f-a2b0-6098555965a0
79,176f9c5c-3b85-413d-8d59-6d043cef9986
80,177273c7-3dba-4d1f-ba2c-da01d103501d
81,17adb2d4-b4ef-4cce-8889-32c7723ec07e
82,17fe5e5e-a3a1-4f00-a28e-82e06fd53fe1
83,18196bcf-e600-4e5f-8bc1-fd61be258bcf
84,18a7acd7-83ee-4137-b227-9dc26e5e4d2f
85,18f73d54-386e-4c8c-8f63-70592b8e315a
86,195056c4-183e-4eb2-a892-2a9935f3e8f0
87,1b622473-0032-4388-8d9c-8d5e639f18e9
88,1bef6902-ae1f-48b1-b2c0-2fee65f5007a
89,1c6ec93f-5eb9-4c3a-be82-362ead961a91
90,1c9f8e8b-f0a2-4da3-9e39-f70e6da0819b
91,1d039ceb-d602-4490-bc99-a09b49c50ff6
92,1da94878-81b0-4f8b-b9c7-8f137c07e5e6
93,1dc896eb-4a6d-4612-a148-36fb095c6cb7
94,1dd84105-7859-439c-a6d9-1f5129fa764f
95,1de2cf56-b855-4aa6-b18d-5b6f5e1dc80e
96,1e02cfdb-bd93-4b20-b843-f606fbf1e6b2
97,1e9b0718-518f-4dcd-9d01-6f7da4f80bf1
98,1eca0f3c-bac5-4e9f-afc7-d1be2f62fe51
99,1f609945-b7c9-426a-aa90-1ca4e974b8a0
100,1f7692ab-f283-4631-a1e7-f1169c891806
101,20eda507-bf95-4986-a597-147269329ea5
102,2108c8e6-598e-4a3c-a8d5-8dec1bc8c8d7
103,2151f851-4415-41c6-86a2-066680abe18e
104,21a143b2-6c25-43d6-b842-16c1a4827eda
105,21be3e75-4940-4686-830e-dc23df9b9b12
106,21f6b8aa-a930-46b3-8b13-76d81658fe8f
107,21fe1f8b-9bc0-403c-a190-33a05766347b
108,2213d45f-6ff5-4bbb-9c54-6ee360a428fb
109,22348eb2-948f-4f3a-a4b6-9b2cecef952a
110,223b8e6e-e81a-40d4-88e8-a3e3cf209cf9
111,22bc08f1-178d-444c-8e76-f0906279e933
112,22dedbfa-e779-457a-a9af-975d45ca69d9
113,23ef45d8-e6a9-4fff-9ee0-127e78bef3b7
114,24784812-1cf4-4621-aa8e-05ba588e04c3
115,2479b2de-459e-4710-ba1e-01078d2b2bb5
116,24870d8b-4b90-4930-84ee-774ede08d853
117,24cf1e6d-25d8-46c6-a611-a0a6b4b10edd
118,253c06f2-1c3a-462f-8404-3566a3c47fbc
119,253df2bc-e487-4cca-b817-ba153f86bd40
120,259ad401-f093-42bf-b76e-1be4a2075329
121,25cc3fa3-1fe1-409d-b32c-1bbaeb8952af
122,261a47fd-7c50-4298-bad0-43997baa89d2
123,2646fba5-ddf8-4c8a-a3df-a0ff130ea532
124,267cedd1-be9c-41d2-bc08-64882034ff6c
125,26b89777-3d53-4a0b-bc85-6b374540fbb7
126,27226db6-4a96-4da5-8f98-3efeb3363018
127,272353e7-4943-4dae-b493-b733085850fa
128,2725a4ff-5333-46e5-95d2-407f27fd68ad
129,2792980a-4385-4ba1-ba81-56fb734706e5
130,27cb15dc-2082-493c-8a6c-234e9ac617d7
131,27f94dc4-22cf-4d78-a432-3a483363fade
132,2864ccd7-4fb4-4e6f-9329-e181a77686c1
133,289f0428-1604-4e62-90b3-75505d8e4ea4
134,28c0a5e8-ac08-4631-a427-745e97113845
135,290835c3-26a0-4511-9fd1-d4a14f183f06
136,29eb36ba-209d-4d02-a698-e89a2276653c
137,29eda07b-14bb-43a3-bca1-a51acdd3f1e0
138,29f10362-f0b4-48c2-8d82-d634e98ba653
139,2a170593-039d-44e2-8563-18e882770ce2
140,2a27b798-1bdd-4235-b35a-d93024be7911
141,2ac7f892-bf4f-4884-8056-ef8ef3b58760
142,2b760510-0355-012f-b33e-003048cacd48
143,2bbb5e08-5c5e-4f15-8646-ec88c65ee23f
144,2bccf07c-ece0-4d83-838e-c54fb1bf8b54
145,2bfadb63-012e-42f4-a2f5-bdca0c16ec68
